CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,Linked,ProficiencyFlag,MinSS,MaxSS,MinRasch,MaxRasch
US,CO,CO,READING,7,5,Exceeded Expectations,1,1,1160,1385,4.7114,999.9999
US,CO,CO,READING,8,1,Did Not Yet Meet Expectations,1,-1,610,1014,-999.9999,1.3106
US,CO,CO,READING,8,2,Partially Met Expectations,1,-1,1014,1054,1.3106,2.2423
US,CO,CO,READING,8,3,Approached Expectations,1,-1,1054,1100,2.2423,3.3138
US,CO,CO,READING,8,4,Met Expectations,1,0,1100,1168,3.3138,4.8978
US,CO,CO,READING,8,5,Exceeded Expectations,1,1,1168,1400,4.8978,999.9999
US,CO,CO,READING,9,1,Did Not Yet Meet Expectations,0,-1,610,1024,-999.9999,1.5435
US,CO,CO,READING,9,2,Partially Met Expectations,0,-1,1024,1069,1.5435,2.5917
US,CO,CO,READING,9,3,Approached Expectations,0,-1,1069,1115,2.5917,3.6632
US,CO,CO,READING,9,4,Met Expectations,0,0,1115,1177,3.6632,5.1074
US,CO,CO,READING,9,5,Exceeded Expectations,0,1,1177,1400,5.1074,999.9999
US,CT,CT,READING,1,1,Level 1,0,-1,610,811,-999.999,-3.4325
US,CT,CT,READING,1,2,Level 2,0,-1,811,858,-3.4325,-2.3095
US,CT,CT,READING,1,3,Level 3,0,0,858,902,-2.3095,-1.307
US,CT,CT,READING,1,4,Level 4,0,1,902,1256,-1.307,999.999
US,CT,CT,READING,10,1,Level 1,0,-1,610,1047,-999.9999,2.0792
US,CT,CT,READING,10,2,Level 2,0,-1,1047,1104,2.0792,3.407
US,CT,CT,READING,10,3,Level 3,0,0,1104,1167,3.407,4.8745
US,CT,CT,READING,10,4,Level 4,0,1,1167,1400,4.8745,999.9999
US,CT,CT,READING,11,1,Level 1,1,-1,615,1055,-999.999,2.2656
US,CT,CT,READING,11,2,Level 2,1,-1,1055,1112,2.2656,3.5933
US,CT,CT,READING,11,3,Level 3,1,0,1112,1170,3.5933,4.9444
US,CT,CT,READING,11,4,Level 4,1,1,1170,1400,4.9444,999.9999
US,CT,CT,READING,12,1,Level 1,0,-1,615,1056,-999.9999,2.2889
US,CT,CT,READING,12,2,Level 2,0,-1,1056,1118,2.2889,3.7331
US,CT,CT,READING,12,3,Level 3,0,0,1118,1177,3.7331,5.1074
US,CT,CT,READING,12,4,Level 4,0,1,1177,1400,5.1074,999.9999
US,CT,CT,READING,2,1,Level 1,0,-1,610,893,-999.999,-1.499
US,CT,CT,READING,2,2,Level 2,0,-1,893,945,-1.499,-0.3105
US,CT,CT,READING,2,3,Level 3,0,0,945,985,-0.3105,0.6355
US,CT,CT,READING,2,4,Level 4,0,1,985,1341,0.6355,999.999
US,CT,CT,READING,3,1,Level 1,1,-1,610,942,-999.999,-0.362
US,CT,CT,READING,3,2,Level 2,1,-1,942,993,-0.362,0.816
US,CT,CT,READING,3,3,Level 3,1,0,993,1032,0.816,1.731
US,CT,CT,READING,3,4,Level 4,1,1,1032,1339,1.731,999.999
US,CT,CT,READING,4,1,Level 1,1,-1,610,984,-999.999,0.628
US,CT,CT,READING,4,2,Level 2,1,-1,984,1022,0.628,1.4965
US,CT,CT,READING,4,3,Level 3,1,0,1022,1060,1.4965,2.3875
US,CT,CT,READING,4,4,Level 4,1,1,1060,1346,2.3875,999.999
US,CT,CT,READING,5,1,Level 1,1,-1,610,1006,-999.999,1.1095
