vchRegionCode	StateTest	Subject	Grade	ProficiencyLevel	ProficiencyLevelName	MinSS	MaxSS	Linked
AZ	AZ	Math	8	1	Far Below Standard	0	736	1
AZ	AZ	Math	8	2	Approaches Standard	737	779	1
AZ	AZ	Math	8	3	Meets Standard	780	894	1
AZ	AZ	Math	8	4	Exceeds Standard	895	1400	1
AZ	AZ	Math	9	1	Far Below Standard	0	747	0
AZ	AZ	Math	9	2	Approaches Standard	748	789	0
AZ	AZ	Math	9	3	Meets Standard	790	895	0
AZ	AZ	Math	9	4	Exceeds Standard	896	1400	0
AZ	AZ	Math	10	1	Far Below Standard	0	750	0
AZ	AZ	Math	10	2	Approaches Standard	751	792	0
AZ	AZ	Math	10	3	Meets Standard	793	900	0
AZ	AZ	Math	10	4	Exceeds Standard	901	1400	0
AZ	AZ	Math	11	1	Far Below Standard	0	765	0
AZ	AZ	Math	11	2	Approaches Standard	766	809	0
AZ	AZ	Math	11	3	Meets Standard	810	917	0
AZ	AZ	Math	11	4	Exceeds Standard	918	1400	0
AZ	AZ	Math	12	1	Far Below Standard	0	777	0
AZ	AZ	Math	12	2	Approaches Standard	778	824	0
AZ	AZ	Math	12	3	Meets Standard	825	924	0
AZ	AZ	Math	12	4	Exceeds Standard	925	1400	0
AZ	AZ	Reading	1	1	Far Below Standard	0	66	0
AZ	AZ	Reading	1	2	Approaches Standard	67	88	0
AZ	AZ	Reading	1	3	Meets Standard	89	262	0
AZ	AZ	Reading	1	4	Exceeds Standard	263	1400	0
AZ	AZ	Reading	2	1	Far Below Standard	0	94	0
AZ	AZ	Reading	2	2	Approaches Standard	95	221	0
AZ	AZ	Reading	2	3	Meets Standard	222	432	0
AZ	AZ	Reading	2	4	Exceeds Standard	433	1400	0
AZ	AZ	Reading	3	1	Far Below Standard	0	175	1
AZ	AZ	Reading	3	2	Approaches Standard	176	316	1
AZ	AZ	Reading	3	3	Meets Standard	317	550	1
AZ	AZ	Reading	3	4	Exceeds Standard	551	1400	1
AZ	AZ	Reading	4	1	Far Below Standard	0	230	1
AZ	AZ	Reading	4	2	Approaches Standard	231	387	1
AZ	AZ	Reading	4	3	Meets Standard	388	681	1
AZ	AZ	Reading	4	4	Exceeds Standard	682	1400	1
AZ	AZ	Reading	5	1	Far Below Standard	0	314	1
AZ	AZ	Reading	5	2	Approaches Standard	315	467	1
AZ	AZ	Reading	5	3	Meets Standard	468	872	1
AZ	AZ	Reading	5	4	Exceeds Standard	873	1400	1
AZ	AZ	Reading	6	1	Far Below Standard	0	335	1
AZ	AZ	Reading	6	2	Approaches Standard	336	509	1
AZ	AZ	Reading	6	3	Meets Standard	510	1034	1
AZ	AZ	Reading	6	4	Exceeds Standard	1035	1400	1
AZ	AZ	Reading	7	1	Far Below Standard	0	382	1
AZ	AZ	Reading	7	2	Approaches Standard	383	550	1
AZ	AZ	Reading	7	3	Meets Standard	551	1159	1
AZ	AZ	Reading	7	4	Exceeds Standard	1160	1400	1
AZ	AZ	Reading	8	1	Far Below Standard	0	449	1
AZ	AZ	Reading	8	2	Approaches Standard	450	631	1
AZ	AZ	Reading	8	3	Meets Standard	632	1270	1
