CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,MinSS,MaxSS,MinRasch,MaxRasch,Linked,ProficiencyFlag
AL,AL,AL,MATHEMATICS,4,1,Need Support,0,522,-999.999,-1.718,1,-1
AL,AL,AL,MATHEMATICS,5,1,Need Support,0,567,-999.999,-1.147,1,-1
AL,AL,AL,MATHEMATICS,6,1,Need Support,0,620,-999.999,-0.474,1,-1
AL,AL,AL,MATHEMATICS,7,1,Need Support,0,718,-999.999,0.77,1,-1
AL,AL,AL,MATHEMATICS,8,1,Need Support,0,776,-999.999,1.507,1,-1
AL,AL,AL,MATHEMATICS,9,1,Need Support,0,839,-999.999,2.307,1,-1
AL,AL,AL,MATHEMATICS,10,1,Need Support,0,877,-999.999,2.789,1,-1
AL,AL,AL,MATHEMATICS,11,1,Need Support,0,892,-999.999,2.98,0,-1
AL,AL,AL,MATHEMATICS,12,1,Need Support,0,904,-999.999,3.132,0,-1
AL,AL,AL,MATHEMATICS,1,2,Close,298,390,-4.575,-3.394,0,-1
AL,AL,AL,MATHEMATICS,2,2,Close,423,505,-2.988,-1.934,0,-1
AL,AL,AL,MATHEMATICS,3,2,Close,505,595,-1.947,-0.791,1,-1
AL,AL,AL,MATHEMATICS,4,2,Close,523,675,-1.718,0.224,1,-1
AL,AL,AL,MATHEMATICS,5,2,Close,568,739,-1.147,1.037,1,-1
AL,AL,AL,MATHEMATICS,6,2,Close,621,764,-0.474,1.354,1,-1
AL,AL,AL,MATHEMATICS,7,2,Close,719,818,0.77,2.04,1,-1
AL,AL,AL,MATHEMATICS,8,2,Close,777,848,1.507,2.421,1,-1
AL,AL,AL,MATHEMATICS,9,2,Close,840,883,2.307,2.865,1,-1
AL,AL,AL,MATHEMATICS,10,2,Close,878,918,2.789,3.31,1,-1
AL,AL,AL,MATHEMATICS,11,2,Close,893,934,2.98,3.513,0,-1
AL,AL,AL,MATHEMATICS,12,2,Close,905,940,3.132,3.589,0,-1
AL,AL,AL,MATHEMATICS,1,3,Ready,391,486,-3.394,-2.175,0,0
AL,AL,AL,MATHEMATICS,2,3,Ready,506,592,-1.934,-0.829,0,0
AL,AL,AL,MATHEMATICS,3,3,Ready,596,678,-0.791,0.262,1,0
AL,AL,AL,MATHEMATICS,4,3,Ready,676,773,0.224,1.469,1,0
AL,AL,AL,MATHEMATICS,5,3,Ready,740,827,1.037,2.154,1,0
AL,AL,AL,MATHEMATICS,6,3,Ready,765,845,1.354,2.383,1,0
AL,AL,AL,MATHEMATICS,7,3,Ready,819,878,2.04,2.802,1,0
AL,AL,AL,MATHEMATICS,8,3,Ready,849,899,2.421,3.068,1,0
AL,AL,AL,MATHEMATICS,9,3,Ready,884,920,2.865,3.335,1,0
AL,AL,AL,MATHEMATICS,10,3,Ready,919,965,3.31,3.906,1,0
AL,AL,AL,MATHEMATICS,11,3,Ready,935,980,3.513,4.097,0,0
AL,AL,AL,MATHEMATICS,12,3,Ready,941,995,3.589,4.287,0,0
AL,AL,AL,MATHEMATICS,1,4,Exceeding,487,1400,-2.175,999.999,0,1
AL,AL,AL,MATHEMATICS,2,4,Exceeding,593,1400,-0.829,999.999,0,1
AL,AL,AL,MATHEMATICS,3,4,Exceeding,679,1400,0.262,999.999,1,1
AL,AL,AL,MATHEMATICS,4,4,Exceeding,774,1400,1.469,999.999,1,1
AL,AL,AL,MATHEMATICS,5,4,Exceeding,828,1400,2.154,999.999,1,1
AL,AL,AL,MATHEMATICS,6,4,Exceeding,846,1400,2.383,999.999,1,1
AL,AL,AL,MATHEMATICS,7,4,Exceeding,879,1400,2.802,999.999,1,1
AL,AL,AL,MATHEMATICS,8,4,Exceeding,900,1400,3.068,999.999,1,1
AL,AL,AL,MATHEMATICS,9,4,Exceeding,921,1400,3.335,999.999,1,1
AL,AL,AL,MATHEMATICS,10,4,Exceeding,966,1400,3.906,999.999,1,1
AL,AL,AL,MATHEMATICS,11,4,Exceeding,981,1400,4.097,999.999,0,1
AL,AL,AL,MATHEMATICS,12,4,Exceeding,996,1400,4.287,999.999,0,1
AR,AR,AR,READING,1,1,Need Support,0,116,-999.999,-2.857,0,-1
AR,AR,AR,READING,2,1,Need Support,0,284,-999.999,-0.876,0,-1
AR,AR,AR,READING,3,1,Need Support,0,391,-999.999,0.2575,1,-1
AR,AR,AR,READING,4,1,Need Support,0,427,-999.999,0.5745,1,-1
AR,AR,AR,READING,5,1,Need Support,0,525,-999.999,1.457,1,-1
AR,AR,AR,READING,6,1,Need Support,0,552,-999.999,1.639,1,-1
AR,AR,AR,READING,7,1,Need Support,0,617,-999.999,2.1175,1,-1
AR,AR,AR,READING,8,1,Need Support,0,636,-999.999,2.2415,1,-1
AR,AR,AR,READING,9,1,Need Support,0,765,-999.999,2.8565,1,-1
AR,AR,AR,READING,10,1,Need Support,0,921,-999.999,3.621,1,-1
AR,AR,AR,READING,11,1,Need Support,0,953,-999.999,3.762,0,-1
AR,AR,AR,READING,12,1,Need Support,0,1008,-999.999,3.975,0,-1
AR,AR,AR,READING,1,2,Close,117,198,-2.857,-1.915,0,-1
AR,AR,AR,READING,2,2,Close,285,373,-0.876,0.0895,0,-1
AR,AR,AR,READING,3,2,Close,392,492,0.2575,1.1785,1,-1
AR,AR,AR,READING,4,2,Close,428,571,0.5745,1.808,1,-1
AR,AR,AR,READING,5,2,Close,526,695,1.457,2.5785,1,-1
AR,AR,AR,READING,6,2,Close,553,725,1.639,2.7285,1,-1
AR,AR,AR,READING,7,2,Close,618,889,2.1175,3.397,1,-1
AR,AR,AR,READING,8,2,Close,637,890,2.2415,3.4025,1,-1
AR,AR,AR,READING,9,2,Close,766,992,2.8565,3.941,1,-1
AR,AR,AR,READING,10,2,Close,922,1185,3.621,4.5245,1,-1
AR,AR,AR,READING,11,2,Close,954,1216,3.762,4.66,0,-1
AR,AR,AR,READING,12,2,Close,1009,1263,3.975,4.9095,0,-1
AR,AR,AR,READING,1,3,Ready,199,281,-1.915,-0.9135,0,0
AR,AR,AR,READING,2,3,Ready,374,467,0.0895,0.9655,0,0
AR,AR,AR,READING,3,3,Ready,493,607,1.1785,2.0455,1,0
AR,AR,AR,READING,4,3,Ready,572,724,1.808,2.723,1,0
AR,AR,AR,READING,5,3,Ready,696,899,2.5785,3.457,1,0
AR,AR,AR,READING,6,3,Ready,726,952,2.7285,3.758,1,0
AR,AR,AR,READING,7,3,Ready,890,1242,3.397,4.8015,1,0
AR,AR,AR,READING,8,3,Ready,891,1251,3.4025,4.8415,1,0
AR,AR,AR,READING,9,3,Ready,993,1252,3.941,4.8485,1,0
AR,AR,AR,READING,10,3,Ready,1186,1342,4.5245,5.92,1,0
AR,AR,AR,READING,11,3,Ready,1217,1343,4.66,5.994,0,0
AR,AR,AR,READING,12,3,Ready,1264,1344,4.9095,6.0675,0,0
AR,AR,AR,READING,1,4,Exceeding,282,1400,-0.9135,999.999,0,1
AR,AR,AR,READING,2,4,Exceeding,468,1400,0.9655,999.999,0,1
AR,AR,AR,READING,3,4,Exceeding,608,1400,2.0455,999.999,1,1
AR,AR,AR,READING,4,4,Exceeding,725,1400,2.723,999.999,1,1
AR,AR,AR,READING,5,4,Exceeding,900,1400,3.457,999.999,1,1
AR,AR,AR,READING,6,4,Exceeding,953,1400,3.758,999.999,1,1
AR,AR,AR,READING,7,4,Exceeding,1243,1400,4.8015,999.999,1,1
AR,AR,AR,READING,8,4,Exceeding,1252,1400,4.8415,999.999,1,1
AR,AR,AR,READING,9,4,Exceeding,1253,1400,4.8485,999.999,1,1
AR,AR,AR,READING,10,4,Exceeding,1343,1400,5.92,999.999,1,1
AR,AR,AR,READING,11,4,Exceeding,1344,1400,5.994,999.999,0,1
AR,AR,AR,READING,12,4,Exceeding,1345,1400,6.0675,999.999,0,1
AR,AR,AR,MATHEMATICS,1,1,Need Support,0,297,-999.999,-4.575,0,-1
AR,AR,AR,MATHEMATICS,2,1,Need Support,0,422,-999.999,-2.988,0,-1
AR,AR,AR,MATHEMATICS,3,1,Need Support,0,504,-999.999,-1.947,1,-1
AR,AR,AR,MATHEMATICS,4,1,Need Support,0,522,-999.999,-1.718,1,-1
AR,AR,AR,MATHEMATICS,5,1,Need Support,0,567,-999.999,-1.147,1,-1
AR,AR,AR,MATHEMATICS,6,1,Need Support,0,620,-999.999,-0.474,1,-1
AR,AR,AR,MATHEMATICS,7,1,Need Support,0,718,-999.999,0.77,1,-1
AR,AR,AR,MATHEMATICS,8,1,Need Support,0,776,-999.999,1.507,1,-1
AR,AR,AR,MATHEMATICS,9,1,Need Support,0,839,-999.999,2.307,1,-1
AR,AR,AR,MATHEMATICS,10,1,Need Support,0,877,-999.999,2.789,1,-1
AR,AR,AR,MATHEMATICS,11,1,Need Support,0,892,-999.999,2.98,0,-1
AR,AR,AR,MATHEMATICS,12,1,Need Support,0,904,-999.999,3.132,0,-1
AR,AR,AR,MATHEMATICS,1,2,Close,298,390,-4.575,-3.394,0,-1
AR,AR,AR,MATHEMATICS,2,2,Close,423,505,-2.988,-1.934,0,-1
AR,AR,AR,MATHEMATICS,3,2,Close,505,595,-1.947,-0.791,1,-1
AR,AR,AR,MATHEMATICS,4,2,Close,523,675,-1.718,0.224,1,-1
AR,AR,AR,MATHEMATICS,5,2,Close,568,739,-1.147,1.037,1,-1
AR,AR,AR,MATHEMATICS,6,2,Close,621,764,-0.474,1.354,1,-1
AR,AR,AR,MATHEMATICS,7,2,Close,719,818,0.77,2.04,1,-1
