vchRegionCode,StateTest,Subject,Grade,iProficiencyLevel,vchProficiency,iMinSS,iMaxSS,MinRasch,MaxRasch,linked,ProfFlag
AZ,AZ,Reading,4,2,Approaches Standard,231,387,-1.5235,0.2255,1,0
AZ,AZ,Reading,5,2,Approaches Standard,315,467,-0.556,0.9655,1,0
AZ,AZ,Reading,6,2,Approaches Standard,336,509,-0.3325,1.321,1,0
AZ,AZ,Reading,7,2,Approaches Standard,383,550,0.187,1.627,1,0
AZ,AZ,Reading,8,2,Approaches Standard,450,631,0.76,2.209,1,0
AZ,AZ,Reading,9,2,Approaches Standard,530,733,1.489,2.764,0,0
AZ,AZ,Reading,10,2,Approaches Standard,548,778,1.608,2.9115,0,0
AZ,AZ,Reading,11,2,Approaches Standard,572,821,1.808,3.0955,0,0
AZ,AZ,Reading,12,2,Approaches Standard,585,855,1.897,3.248,0,0
AZ,AZ,Reading,1,3,Meets Standard,89,262,-3.556,-1.144,0,1
AZ,AZ,Reading,2,3,Meets Standard,222,432,-1.6345,0.613,0,1
AZ,AZ,Reading,3,3,Meets Standard,317,550,-0.532,1.627,1,1
AZ,AZ,Reading,4,3,Meets Standard,388,681,0.2255,2.507,1,1
AZ,AZ,Reading,5,3,Meets Standard,468,872,0.9655,3.3185,1,1
AZ,AZ,Reading,6,3,Meets Standard,510,1034,1.321,4.0325,1,1
AZ,AZ,Reading,7,3,Meets Standard,551,1159,1.627,4.399,1,1
AZ,AZ,Reading,8,3,Meets Standard,632,1270,2.209,4.9405,1,1
AZ,AZ,Reading,9,3,Meets Standard,734,1311,2.764,5.201,0,1
AZ,AZ,Reading,10,3,Meets Standard,779,1322,2.9115,5.3935,0,1
AZ,AZ,Reading,11,3,Meets Standard,822,1327,3.0955,5.507,0,1
AZ,AZ,Reading,12,3,Meets Standard,856,1339,3.248,5.8195,0,1
AZ,AZ,Reading,1,4,Exceeds Standard,263,1400,-1.144,999.999,0,1
AZ,AZ,Reading,2,4,Exceeds Standard,433,1400,0.613,999.999,0,1
AZ,AZ,Reading,3,4,Exceeds Standard,551,1400,1.627,999.999,1,1
AZ,AZ,Reading,4,4,Exceeds Standard,682,1400,2.507,999.999,1,1
AZ,AZ,Reading,5,4,Exceeds Standard,873,1400,3.3185,999.999,1,1
AZ,AZ,Reading,6,4,Exceeds Standard,1035,1400,4.0325,999.999,1,1
AZ,AZ,Reading,7,4,Exceeds Standard,1160,1400,4.399,999.999,1,1
AZ,AZ,Reading,8,4,Exceeds Standard,1271,1400,4.9405,999.999,1,1
AZ,AZ,Reading,9,4,Exceeds Standard,1312,1400,5.201,999.999,0,1
AZ,AZ,Reading,10,4,Exceeds Standard,1323,1400,5.3935,999.999,0,1
AZ,AZ,Reading,11,4,Exceeds Standard,1328,1400,5.507,999.999,0,1
AZ,AZ,Reading,12,4,Exceeds Standard,1340,1400,5.8195,999.999,0,1
AZ,AZ,Math,1,1,Far Below Standard,0,287,-999.999,-4.702,0,0
AZ,AZ,Math,2,1,Far Below Standard,0,418,-999.999,-3.039,0,0
AZ,AZ,Math,3,1,Far Below Standard,0,478,-999.999,-2.277,1,0
AZ,AZ,Math,4,1,Far Below Standard,0,559,-999.999,-1.248,1,0
AZ,AZ,Math,5,1,Far Below Standard,0,612,-999.999,-0.576,1,0
AZ,AZ,Math,6,1,Far Below Standard,0,667,-999.999,0.123,1,0
AZ,AZ,Math,7,1,Far Below Standard,0,673,-999.999,0.199,1,0
AZ,AZ,Math,8,1,Far Below Standard,0,736,-999.999,0.999,1,0
AZ,AZ,Math,9,1,Far Below Standard,0,747,-999.999,1.139,0,0
AZ,AZ,Math,10,1,Far Below Standard,0,750,-999.999,1.177,0,0
AZ,AZ,Math,11,1,Far Below Standard,0,765,-999.999,1.367,0,0
AZ,AZ,Math,12,1,Far Below Standard,0,777,-999.999,1.519,0,0
AZ,AZ,Math,1,2,Approaches Standard,288,360,-4.702,-3.775,0,0
AZ,AZ,Math,2,2,Approaches Standard,419,477,-3.039,-2.29,0,0
AZ,AZ,Math,3,2,Approaches Standard,479,568,-2.277,-1.134,1,0
AZ,AZ,Math,4,2,Approaches Standard,560,635,-1.248,-0.284,1,0
AZ,AZ,Math,5,2,Approaches Standard,613,697,-0.576,0.504,1,0
AZ,AZ,Math,6,2,Approaches Standard,668,750,0.123,1.177,1,0
AZ,AZ,Math,7,2,Approaches Standard,674,751,0.199,1.189,1,0
AZ,AZ,Math,8,2,Approaches Standard,737,779,0.999,1.545,1,0
AZ,AZ,Math,9,2,Approaches Standard,748,789,1.139,1.672,0,0
AZ,AZ,Math,10,2,Approaches Standard,751,792,1.177,1.71,0,0
AZ,AZ,Math,11,2,Approaches Standard,766,809,1.367,1.926,0,0
AZ,AZ,Math,12,2,Approaches Standard,778,824,1.519,2.116,0,0
AZ,AZ,Math,1,3,Meets Standard,361,467,-3.775,-2.417,0,1
AZ,AZ,Math,2,3,Meets Standard,478,570,-2.29,-1.109,0,1
AZ,AZ,Math,3,3,Meets Standard,569,665,-1.134,0.097,1,1
AZ,AZ,Math,4,3,Meets Standard,636,740,-0.284,1.05,1,1
AZ,AZ,Math,5,3,Meets Standard,698,807,0.504,1.9,1,1
AZ,AZ,Math,6,3,Meets Standard,751,828,1.177,2.167,1,1
AZ,AZ,Math,7,3,Meets Standard,752,838,1.189,2.294,1,1
AZ,AZ,Math,8,3,Meets Standard,780,894,1.545,3.005,1,1
AZ,AZ,Math,9,3,Meets Standard,790,895,1.672,3.018,0,1
AZ,AZ,Math,10,3,Meets Standard,793,900,1.71,3.081,0,1
AZ,AZ,Math,11,3,Meets Standard,810,917,1.926,3.297,0,1
AZ,AZ,Math,12,3,Meets Standard,825,924,2.116,3.386,0,1
AZ,AZ,Math,1,4,Exceeds Standard,468,1400,-2.417,999.999,0,1
AZ,AZ,Math,2,4,Exceeds Standard,571,1400,-1.109,999.999,0,1
