CountryCode,RegionCode,TestCode,Subject,Grade,ProficiencyLevel,ProficiencyName,MinRasch,MaxRasch,Linked,ProficiencyFlag
US,CA,CA,READING,1,4,Level 4,-1.321686466,999.999,0,1
US,CA,CA,READING,10,1,Level 1,-999.999,2.079198696,0,-1
US,CA,CA,READING,10,2,Level 2,2.079198696,3.406941533,0,-1
US,CA,CA,READING,10,3,Level 3,3.406941533,4.874446774,0,0
US,CA,CA,READING,10,4,Level 4,4.874446774,999.999,0,1
US,CA,CA,READING,11,1,Level 1,-999.999,2.265548567,1,-1
US,CA,CA,READING,11,2,Level 2,2.265548567,3.593291405,1,-1
US,CA,CA,READING,11,3,Level 3,3.593291405,4.944327976,1,0
US,CA,CA,READING,11,4,Level 4,4.944327976,999.999,1,1
US,CA,CA,READING,12,1,Level 1,-999.999,2.288842301,0,-1
US,CA,CA,READING,12,2,Level 2,2.288842301,3.733053809,0,-1
US,CA,CA,READING,12,3,Level 3,3.733053809,5.107384114,0,0
US,CA,CA,READING,12,4,Level 4,5.107384114,999.999,0,1
US,CA,CA,READING,2,1,Level 1,-999.999,-1.508036338,0,-1
US,CA,CA,READING,2,2,Level 2,-1.508036338,-0.320055905,0,-1
US,CA,CA,READING,2,3,Level 3,-0.320055905,0.6349871884,0,0
US,CA,CA,READING,2,4,Level 4,0.6349871884,999.999,0,1
US,CA,CA,READING,3,1,Level 1,-999.999,-0.3666433729,1,-1
US,CA,CA,READING,3,2,Level 2,-0.3666433729,0.7980433263,1,-1
US,CA,CA,READING,3,3,Level 3,0.7980433263,1.729792686,1,0
US,CA,CA,READING,3,4,Level 4,1.729792686,999.999,1,1
US,CA,CA,READING,4,1,Level 1,-999.999,0.6116934545,1,-1
US,CA,CA,READING,4,2,Level 2,0.6116934545,1.473561612,1,-1
US,CA,CA,READING,4,3,Level 3,1.473561612,2.382017237,1,0
US,CA,CA,READING,4,4,Level 4,2.382017237,999.999,1,1
US,CA,CA,READING,5,1,Level 1,-999.999,1.100861868,1,-1
US,CA,CA,READING,5,2,Level 2,1.100861868,1.98602376,1,-1
US,CA,CA,READING,5,3,Level 3,1.98602376,3.220591661,1,0
US,CA,CA,READING,5,4,Level 4,3.220591661,999.999,1,1
US,CA,CA,READING,6,1,Level 1,-999.999,1.240624272,1,-1
US,CA,CA,READING,6,2,Level 2,1.240624272,2.545073375,1,-1
US,CA,CA,READING,6,3,Level 3,2.545073375,3.989284882,1,0
US,CA,CA,READING,6,4,Level 4,3.989284882,999.999,1,1
US,CA,CA,READING,7,1,Level 1,-999.999,1.822967622,1,-1
US,CA,CA,READING,7,2,Level 2,1.822967622,2.871185651,1,-1
US,CA,CA,READING,7,3,Level 3,2.871185651,4.431865828,1,0
US,CA,CA,READING,7,4,Level 4,4.431865828,999.999,1,1
US,CA,CA,READING,8,1,Level 1,-999.999,1.916142558,1,-1
US,CA,CA,READING,8,2,Level 2,1.916142558,3.243885395,1,-1
US,CA,CA,READING,8,3,Level 3,3.243885395,4.827859306,1,0
US,CA,CA,READING,8,4,Level 4,4.827859306,999.999,1,1
US,CA,CA,READING,9,1,Level 1,-999.999,1.962730026,0,-1
US,CA,CA,READING,9,2,Level 2,1.962730026,3.267179129,0,-1
US,CA,CA,READING,9,3,Level 3,3.267179129,4.85115304,0,0
US,CA,CA,READING,9,4,Level 4,4.85115304,999.999,0,1
US,CO,CO,READING,1,1,Did Not Yet Meet Expectations,-999.9999,-4.3964,0,-1
US,CO,CO,READING,1,2,Partially Met Expectations,-4.3964,-3.3715,0,-1
US,CO,CO,READING,1,3,Approached Expectations,-3.3715,-2.4164,0,-1
US,CO,CO,READING,1,4,Met Expectations,-2.4164,0.0527,0,0
US,CO,CO,READING,1,5,Exceeded Expectations,0.0527,999.9999,0,1
US,CO,CO,READING,10,1,Did Not Yet Meet Expectations,-999.9999,1.6833,0,-1
US,CO,CO,READING,10,2,Partially Met Expectations,1.6833,2.7315,0,-1
US,CO,CO,READING,10,3,Approached Expectations,2.7315,3.8263,0,-1
US,CO,CO,READING,10,4,Met Expectations,3.8263,5.2938,0,0
US,CO,CO,READING,10,5,Exceeded Expectations,5.2938,999.9999,0,1
US,CO,CO,READING,11,1,Did Not Yet Meet Expectations,-999.9999,1.7997,0,-1
US,CO,CO,READING,11,2,Partially Met Expectations,1.7997,2.8712,0,-1
US,CO,CO,READING,11,3,Approached Expectations,2.8712,3.9427,0,-1
US,CO,CO,READING,11,4,Met Expectations,3.9427,5.4335,0,0
US,CO,CO,READING,11,5,Exceeded Expectations,5.4335,999.9999,0,1
US,CO,CO,READING,12,1,Did Not Yet Meet Expectations,-999.9999,1.823,0,-1
US,CO,CO,READING,12,2,Partially Met Expectations,1.823,3.011,0,-1
US,CO,CO,READING,12,3,Approached Expectations,3.011,4.1291,0,-1
US,CO,CO,READING,12,4,Met Expectations,4.1291,5.6432,0,0
US,CO,CO,READING,12,5,Exceeded Expectations,5.6432,999.9999,0,1
US,CO,CO,READING,2,1,Did Not Yet Meet Expectations,-999.9999,-2.2534,0,-1
US,CO,CO,READING,2,2,Partially Met Expectations,-2.2534,-1.2052,0,-1
US,CO,CO,READING,2,3,Approached Expectations,-1.2052,-0.2268,0,-1
US,CO,CO,READING,2,4,Met Expectations,-0.2268,1.7531,0,0
US,CO,CO,READING,2,5,Exceeded Expectations,1.7531,999.9999,0,1
US,CO,CO,READING,3,1,Did Not Yet Meet Expectations,-999.9999,-0.9256,1,-1
US,CO,CO,READING,3,2,Partially Met Expectations,-0.9256,0.1226,1,-1
US,CO,CO,READING,3,3,Approached Expectations,0.1226,1.0077,1,-1
US,CO,CO,READING,3,4,Met Expectations,1.0077,2.8945,1,0
US,CO,CO,READING,3,5,Exceeded Expectations,2.8945,999.9999,1,1
US,CO,CO,READING,4,1,Did Not Yet Meet Expectations,-999.9999,-0.6228,1,-1
US,CO,CO,READING,4,2,Partially Met Expectations,-0.6228,0.5652,1,-1
US,CO,CO,READING,4,3,Approached Expectations,0.5652,1.6833,1,-1
US,CO,CO,READING,4,4,Met Expectations,1.6833,3.3371,1,0
US,CO,CO,READING,4,5,Exceeded Expectations,3.3371,999.9999,1,1
US,CO,CO,READING,5,1,Did Not Yet Meet Expectations,-999.9999,-0.5995,1,-1
US,CO,CO,READING,5,2,Partially Met Expectations,-0.5995,0.9146,1,-1
US,CO,CO,READING,5,3,Approached Expectations,0.9146,2.1491,1,-1
US,CO,CO,READING,5,4,Met Expectations,2.1491,4.199,1,0
US,CO,CO,READING,5,5,Exceeded Expectations,4.199,999.9999,1,1
US,CO,CO,READING,6,1,Did Not Yet Meet Expectations,-999.9999,0.1459,1,-1
US,CO,CO,READING,6,2,Partially Met Expectations,0.1459,1.6367,1,-1
US,CO,CO,READING,6,3,Approached Expectations,1.6367,2.8246,1,-1
US,CO,CO,READING,6,4,Met Expectations,2.8246,4.6416,1,0
US,CO,CO,READING,6,5,Exceeded Expectations,4.6416,999.9999,1,1
US,CO,CO,READING,7,1,Did Not Yet Meet Expectations,-999.9999,0.9379,1,-1
US,CO,CO,READING,7,2,Partially Met Expectations,0.9379,2.1258,1,-1
US,CO,CO,READING,7,3,Approached Expectations,2.1258,3.1508,1,-1
US,CO,CO,READING,7,4,Met Expectations,3.1508,4.7114,1,0
US,CO,CO,READING,7,5,Exceeded Expectations,4.7114,999.9999,1,1
US,CO,CO,READING,8,1,Did Not Yet Meet Expectations,-999.9999,1.3106,1,-1
US,CO,CO,READING,8,2,Partially Met Expectations,1.3106,2.2423,1,-1
US,CO,CO,READING,8,3,Approached Expectations,2.2423,3.3138,1,-1
US,CO,CO,READING,8,4,Met Expectations,3.3138,4.8978,1,0
US,CO,CO,READING,8,5,Exceeded Expectations,4.8978,999.9999,1,1
